moon_id,kingdom,stage,stage_display_name,area_scope,moon_name,runtime_shine_key,obj_id,uid,flags,from_node_id,state_requirement_expr,requirement_expr,world_peace_token,moon_rock_token,access_type,effort_level,effort_notes,legacy_requirement_notes,placement_found,placement_unit_config_names,placement_layer_config_names,placement_scenario_no_values,scenario_move_to,placement_stage_map_indices,placement_quest_no_values,placement_shine_optional_ids,placement_change_stage_ids,placement_x,placement_y,placement_z,placement_source_archives,placement_source_files,placement_count,shine_info_hint_idx,shine_info_main_scenario_no,shine_info_progress_bit_flag,shine_info_is_grand,shine_info_is_moon_rock,shine_info_available_scenarios,shine_info_object_name,shine_info_scenario_name,notes,difficulty,option_scenarios
Special1WorldHomeStage:130:1055,Dark Side,Special1WorldHomeStage,Dark Side,overworld,Arrival at Rabbit Ridge!,Special1WorldHomeStage:130:1055,130,1055,ShineFlag_Story | ShineFlag_Multi,Special1WorldHomeStage::place::new_place_5,,(GroundPound & MoonLowGravity) | (HammerBros & MoonLowGravity) | (Vault & Dive & NeutralThrow & GroundPound & MoonLowGravity) | (GroundPound & Backflip & MoonLowGravity) | (GroundPound & Dive & UpThrow & ElectricWire & MoonLowGravity),WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"captures=Wire, Hammer Bro | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture, Ground Pound) | method_2(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,3850.000,23700.000,-20000.000,ShineInfo.szs,ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,23,0,3,true,false,1;2,ゴーレムクライム,決着！ ラビットクレーター,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,expert;casual;casual;advanced;advanced,"1,2,3,4,5"
KillerRoadNoCapExStage:3:1062,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,Breakdown Road: Hurry!,KillerRoadNoCapExStage:3:1062,3,1062,ShineFlag_None,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,,LongJump,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,,,,,,,,,-21350.000,14250.000,25000.000,ShineInfo.szs,ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,11,-1,2,false,false,2,鍵付き宝箱,ゴーゴー！ くずれ道,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
KillerRoadNoCapExStage:5:1063,Dark Side,KillerRoadNoCapExStage,Breakdown Road Capless,subarea,Breakdown Road: Final Challenge!,KillerRoadNoCapExStage:5:1063,5,1063,ShineFlag_None,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,,Dive | LongJump | (TripleJump & WallJump & LedgeGrab),WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,Shine,Scenario2,-1,,1,-1,None,,0.000,100.000,-1100.000,KillerRoadNoCapExStageMap.szs;ShineInfo.szs,KillerRoadNoCapExStageMap.byml;ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,17,-1,2,false,false,2,シャイン,チャレンジ！ くずれ道,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual;advanced;expert,
BikeSteelNoCapExStage:5:1064,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,Vanishing Road Challenge,BikeSteelNoCapExStage:5:1064,5,1064,ShineFlag_None,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,,(LongJump & TimerChallenge) | (RollBoost & TimerChallenge) | (RollBoost & LongJump & TimerChallenge) | (Dive & TimerChallenge),WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Roll Boost)",true,ShineAddByRock,Scenario2,-1,,1,-1,None,,-46500.000,5300.000,-16100.000,BikeSteelNoCapExStageMap.szs;ShineInfo.szs,BikeSteelNoCapExStageMap.byml;ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,16,-1,2,false,false,2,シャイン【月の石追加版】,チャレンジ！ 消える道路,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,advanced;advanced;casual;advanced,"1,2,3,4,5"
BikeSteelNoCapExStage:6:1065,Dark Side,BikeSteelNoCapExStage,Vanishing Road Capless,subarea,Vanishing Road Rush,BikeSteelNoCapExStage:6:1065,6,1065,ShineFlag_None,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,,free,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Roll Boost)",true,ShineAddByRockAddHeight,Scenario2,-1,,1,-1,None,,-47700.000,1550.000,-31700.000,BikeSteelNoCapExStageMap.szs;ShineInfo.szs,BikeSteelNoCapExStageMap.byml;ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,22,-1,2,false,false,2,シャイン【月の石追加版2m】,ゴーゴー！ 消える道路,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ShootingCityYoshiExStage:3:1066,Dark Side,ShootingCityYoshiExStage,Yoshi Under Siege,subarea,Yoshi Under Siege,ShootingCityYoshiExStage:3:1066,3,1066,ShineFlag_None,ShootingCityYoshiExStage::entrance::taxi::sub_near,,Yoshi,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,2300.000,-2300.000,5700.000,ShineInfo.szs,ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,14,-1,2,false,false,2,ヨッシーフルーツ用シャイン保持,砲撃の中のヨッシー,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
ShootingCityYoshiExStage:4:1067,Dark Side,ShootingCityYoshiExStage,Yoshi Under Siege,subarea,Fruit Feast Under Siege,ShootingCityYoshiExStage:4:1067,4,1067,ShineFlag_None,ShootingCityYoshiExStage::entrance::taxi::sub_near,,Yoshi,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,2300.000,-2300.000,5700.000,ShineInfo.szs,ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,20,-1,2,false,false,2,ヨッシーフルーツ用シャイン保持,砲撃の中で ごちそうさま！,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PackunPoisonNoCapExStage:9:1068,Dark Side,PackunPoisonNoCapExStage,Invisible Road Capless,subarea,Invisible Road: Secret!,PackunPoisonNoCapExStage:9:1068,9,1068,ShineFlag_None,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx::sub_near,,Roll | GroundPound,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,TreasureBox,Scenario2,,,1,,None,,6650.000,600.000,-4100.000,PackunPoisonNoCapExStageMap.szs;ShineInfo.szs,PackunPoisonNoCapExStageMap.byml;ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,15,-1,2,false,false,2,宝箱,チャレンジ！ とうめいロード,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
PackunPoisonNoCapExStage:4:1069,Dark Side,PackunPoisonNoCapExStage,Invisible Road Capless,subarea,Invisible Road: Rush!,PackunPoisonNoCapExStage:4:1069,4,1069,ShineFlag_None,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx::sub_near,,free,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=None)",true,ShineAddHeight,Scenario2,-1,,1,-1,None,,2750.000,800.000,2300.000,PackunPoisonNoCapExStageMap.szs;ShineInfo.szs,PackunPoisonNoCapExStageMap.byml;ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,21,-1,2,false,false,2,シャイン【2m置き】,ゴーゴー！ とうめいロード,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
SenobiTowerYoshiExStage:26:1070,Dark Side,SenobiTowerYoshiExStage,Yoshi on the Sinking Island,subarea,Yoshi on the Sinking Island,SenobiTowerYoshiExStage:26:1070,26,1070,ShineFlag_None,SenobiTowerYoshiExStage::place::new_place,,Yoshi,WorldPeace_Dark,MoonRockActive_Dark,primary,unrated,,"captures=Yoshi | method_1(jump=Single Jump (258); cap_throw=Neutral Throw, Up Throw, Down Throw, Spin Throw; other=Capture)",true,,,,,,,,,1750.000,-2000.000,5000.000,ShineInfo.szs,ShineList_Special1WorldHomeStage.byml;ShinePosList.byml,1,13,-1,2,false,false,2,ヨッシーフルーツ用シャイン保持,沈む島のヨッシー,Use placement_stage_map_indices for StageMap availability and requirement_expr for local ability/capture needs. placement_scenario_no_values is the raw object ScenarioNo field.,casual,
